zpid,bed,bath,sqft,street,city,state,overview,images,price
2057210516,3,4.0,1742.0,Albright Walk,Sacramento,CA,"New 3 story single family detached homes at Albright Village, an intimate community of only 14 total homes each close to 1,800 sf. Located in the highly desirable Richmond Grove neighborhood, 3 blocks from the bustling R St Corridor and Southside Park. All homes include a spacious 2 car garage of approx 21 ft width, private and fenced front yards, balconies, 3 bedrooms, Den/Office, 2.5 bathrooms, solar panels, zone control on each floor for efficient HVAC, lavish finishes and fixtures, and more. Located around the corner from the popular Urban Roots restaurant and within only a few blocks of many other urban amenities.",https://photos.zillowstatic.com/fp/18992d9d4a30529a35cf4fceffacba1f-cc_ft_960.jpg https://photos.zillowstatic.com/fp/8fd60fb156fc93fbc7e2afc428f159f8-cc_ft_576.jpg https://photos.zillowstatic.com/fp/4efb546907ed7d33b288925624e9b26f-cc_ft_576.jpg https://photos.zillowstatic.com/fp/03045a0e227c133c805a8a65d569f98b-cc_ft_576.jpg https://photos.zillowstatic.com/fp/52d2d8637d1ace3d457f3f56216ebe0e-cc_ft_576.jpg,0.815
2057223967,4,2.0,1750.0,Courage Dr,Sacramento,CA,"The luxurious Alton plan offers an inviting layout, beginning with a charming covered porch entryway. The home boasts an open layout with a great room, a dining room and an impressive kitchen, complete with a center island and built-in pantry. Two bedrooms and a bath are adjacent. The owner's suite is located at the back of the home, and includes a walk-in closet and a private bath. A study and a laundry round out this plan.",https://photos.zillowstatic.com/fp/00c70ee983465416d9bb8e9e4f7151c2-cc_ft_960.jpg https://photos.zillowstatic.com/fp/00c70ee983465416d9bb8e9e4f7151c2-cc_ft_960.jpg https://www.zillowstatic.com/s3/hdp/home-details/images/video-tile-placeholder.jpg,0.586545
2057237976,3,2.0,1588.0,W Taylor St,Sacramento,CA,"A Lot Of Bang 4 Your Bucks! Swimming Pool, Hot Tub & Club House for Those Hot Days! End Unit with Open Space and Trees on one side inside Gated Community. Excellent Layout Perfect for Everyone. Townhouse Style has an attached Large 2Car Garage+ Space outside for 2 more cars, side yard creates a nice ambiance for personal family gatherings. Open Floor Plan, Lots of Natural Light, High Vaulted Ceilings, New HVAC system, Tile Flooring, Newer Carpets, Galley Kitchen w Garden Window, Large Master Bedroom with Walk-In Closet, Full Bath Downstairs Newer Washer & Dryer Included with Purchase. Close To Shopping, Restaurants, Downtown, Parks, Schools, Easy Freeway Access.          Seller is giving a $3000.00 incentive to buyer.",https://photos.zillowstatic.com/fp/5d65f68e2c2d2491a56891a96ee6371b-cc_ft_960.jpg https://photos.zillowstatic.com/fp/91c10da49ab7c78f7d65ae8c3ac0d888-cc_ft_576.jpg https://photos.zillowstatic.com/fp/368bed94130fb5a74ea51182e6f3a47b-cc_ft_576.jpg https://photos.zillowstatic.com/fp/2d154e6f0acae0a4c45b812c32b106b6-cc_ft_576.jpg https://photos.zillowstatic.com/fp/5cfb1bd6f59a3bdbef482bfe7c8c7202-cc_ft_576.jpg,0.328
2057322581,2,2.0,,Atlantic Ave,Long Beach,CA,"Don't miss this awesome opportunity at the Long Beach Villa Park community. Introducing a Double wide manufacture home 1970, 2bed 2 bath, washer and dryer hookup inside, living room and dining room. Home has a carport attached for 2 cars. Community includes pool and club house open to family. Manufacture home is conveniently located between the 710 fwy and 91 fwy.",https://photos.zillowstatic.com/fp/70c230fd58eca89042fa2e677b3e168c-cc_ft_960.jpg https://photos.zillowstatic.com/fp/2180ff407160d5ef37dd0ee7c13db5ca-cc_ft_576.jpg https://photos.zillowstatic.com/fp/bbb55de1a283c1c4558e70e57e9a728f-cc_ft_576.jpg https://photos.zillowstatic.com/fp/f06b9030c07894d76766b010fdc4bd54-cc_ft_576.jpg https://photos.zillowstatic.com/fp/8b1aecaa372ddfb7f9cb1f19f09fd814-cc_ft_576.jpg,0.175
2057348471,4,3.0,2238.0,Edgeview Dr,Sacramento,CA,"Beautiful Plan 1 at The Cove's Westward community is available for IMMEDIATE MOVE-IN! This two-story home is located on a generous corner homesite and features a first-floor bedroom with private patio and full bathroom that is perfect for overnight guests. Enjoy an eat-in kitchen overlooking the Living and Dining rooms. The open layout is ideal for entertaining, and the 2nd covered patio is the perfect place to enjoy your morning coffee. Exclusive Clubhouse includes a Junior Olympic size pool, fitness center, shaded BBQ areas and more all located just a few short minutes from vibrant Downtown Sacramento!",https://photos.zillowstatic.com/fp/164024e1eafd6fd62695b1b181db9a5b-cc_ft_960.jpg https://photos.zillowstatic.com/fp/93e441bd88e33be917414529ed000fd1-cc_ft_576.jpg https://photos.zillowstatic.com/fp/992d8b3b292323747c7b3a8c7daa1da7-cc_ft_576.jpg https://photos.zillowstatic.com/fp/164024e1eafd6fd62695b1b181db9a5b-cc_ft_960.jpg,0.62999
2057507758,3,3.0,1535.0,E Sunset St,Long Beach,CA,"Edgewood Point, a new solar included townhome community in Long Beach, is now selling our final homes! Lot 28 is a plan 2 home and features 3 bedrooms and 3 baths, stainless kitchen appliances, upgraded white shaker cabinets, smart thermostat and more! Buyer may customize select finishes to personalize their home    Photos are for reference only of our model home and not the actual home for sale",https://photos.zillowstatic.com/fp/276189619cca27cbac336f81ff910351-cc_ft_960.jpg https://photos.zillowstatic.com/fp/c3989ca6ac3cd25ae756a0e1a4ad9cbf-cc_ft_576.jpg https://photos.zillowstatic.com/fp/974140b05cea74ec2bd4af3d54e1b527-cc_ft_576.jpg https://photos.zillowstatic.com/fp/8d6aa74b7dc214eeefad997425333a29-cc_ft_576.jpg,0.790977
2057507759,3,3.0,1330.0,E Sunset St,Long Beach,CA,"Edgewood Point, City Ventures' newest solar included townhome community in Long Beach, is now selling! Lot 25 is a plan 1 home and features 3 bedrooms and 3 baths, stainless kitchen appliances, Bianco cabeints, and smart thermostat. Buyer will be able to customize the finishes from countertops to flooring, and personalize your new home your way.    Photos are of the model home for refernce only and not the actual available home.",https://photos.zillowstatic.com/fp/c2b2345984af6409dcab98b288e2213a-cc_ft_960.jpg https://photos.zillowstatic.com/fp/4896864f8d6fc6619ad55581c3082be1-cc_ft_576.jpg https://photos.zillowstatic.com/fp/974aeda2b49f5f52013478423086d0c3-cc_ft_576.jpg https://photos.zillowstatic.com/fp/15b0cf7d7af5ae9262cff4130338da1e-cc_ft_576.jpg,0.70999
2057551417,5,4.0,4700.0,Roosevelt Ave,Sacramento,CA,Multi Unit property!! Two houses on one lot. House with 2 bed 1 bath unit downstairs and 1 bed 1 bath unit upstairs. Then 1 bed 1 bath duplex on back of property. Property completely gated and very secure. Extremely easy to manage and lots of cash flow. The property is in overall good shape and all the units are rented. You will not want to miss this one.,https://photos.zillowstatic.com/fp/75dc0c407b7aa2ff3403467b186819b6-cc_ft_960.jpg https://photos.zillowstatic.com/fp/8ab9ff5ca96da53e03db093e96d62b14-cc_ft_576.jpg https://photos.zillowstatic.com/fp/f34dd73c30f715e5023adae759fbab5e-cc_ft_576.jpg https://photos.zillowstatic.com/fp/f3a4b4fd039db7df9d7e0b2f452252f1-cc_ft_576.jpg https://photos.zillowstatic.com/fp/e5120c1ac50993ae0fe81a945313bb6a-cc_ft_576.jpg,0.7
2057909804,3,3.0,1535.0,N Long Beach Blvd,Long Beach,CA,"Edgewood Point, a new solar included townhome community in Long Beach, is now selling our final homes! Lot 5 is a plan 2 home and features 3 bedrooms and 3 baths, stainless kitchen appliances, and LED lighting, a large front patio and more!    Photos are for reference only of our model home and not the actual home for sale",https://photos.zillowstatic.com/fp/f64848d83fe23f9a2f87c624ea059be5-cc_ft_960.jpg https://photos.zillowstatic.com/fp/e78cd0a7518230e12f59ab0544fa9cd8-cc_ft_576.jpg https://photos.zillowstatic.com/fp/0f5d858ebf6a54f4c3556efe1ebca025-cc_ft_576.jpg https://photos.zillowstatic.com/fp/57b1760de5123715484ef894bcdb76f0-cc_ft_576.jpg,0.77999
2057909905,3,3.0,1345.0,N Long Beach Blvd,Long Beach,CA,"Edgewood Point, a new solar included townhome community in Long Beach, is down to the final homes. Lot 4 is a plan 1 home and features 3 bedrooms and 3 baths, LG stainless kitchen appliances, quartz kitchen countertops, LED lighting, private driveway and more.     Photos are of the model home for refernce only and not the actual available home.",https://photos.zillowstatic.com/fp/6fe927a04c523f58850426d47bc928e8-cc_ft_960.jpg https://photos.zillowstatic.com/fp/c2e31be81089345a26cc4bc425e2a067-cc_ft_576.jpg https://photos.zillowstatic.com/fp/46ff7a6124bf9888064bcd3b2571a173-cc_ft_576.jpg https://photos.zillowstatic.com/fp/5b9eed3e336616ebfef6954449d773c2-cc_ft_576.jpg,0.75499
2058170290,4,5.0,3105.0,S Balboa Pl,Long Beach,CA,"A modern farm-house of coastal opulence, this exquisitely crafted, newly built (2023) residence on the covetable Long Beach Peninsula places the pinnacle of luxury at your doorstep and invites you to revel in the sweeping panoramic views of the Pacific Ocean, the bay, Naples Island, downtown Long Beach, and Catalina Island. Curated by renowned Sennikoff Architects and Esoteric Homes with interiors by designer Sherry Alexander, this open floor plan boasts four bedrooms and four-and-one-half-bathrooms, spanning approximately 3,105 square feet over three levels. The finest materials and appliances have been carefully selected to embrace a lifestyle of luxury, comfort, and indulgence, including immaculate hardwood flooring, sumptuous stone countertops and fireplaces, and a commercial-grade elevator serving all floors, including the rooftop deck. Gourmet chefs will delight in the Bertazzoni appliances, which include a 48"" range, 36"" fridge, Zepher Beverage cooler, and Sharp microwave drawer, ideal for creating and serving delectable dishes. Upstairs, the master suite displays lay-down sunset views with the ultimate in opulence with fireplace, soaking tub, dual vanity sinks, walk-in closet, and private balcony accessed by accordion glass sliding doors. Crowning the home is media room and expansive rooftop deck providing the perfect vantage point to marvel at the stunning vistas from every angle. A water sports enthusiast's paradise, this property offers easy access to a wide array of aquatic activities, including boating, yacht club, paddle boarding, gondola rides, surfing, and fishing. Live moments from dozens of shops, restaurants, and the turquoise blue ocean where life is at its most serene.",https://photos.zillowstatic.com/fp/141f3618a2f2b6570d611c174e896197-cc_ft_960.jpg https://photos.zillowstatic.com/fp/b865ef683de9355af1038edce0c5414c-cc_ft_576.jpg https://photos.zillowstatic.com/fp/01328e8409be69b1503b11091486a5d9-cc_ft_576.jpg https://photos.zillowstatic.com/fp/229485a65cf9d206fd1fd96057dac5ae-cc_ft_576.jpg https://photos.zillowstatic.com/fp/5dd6d349b4926065834fbdf04a595df9-cc_ft_576.jpg,3.788888
2059066958,4,2.0,1600.0,Azimuth Ln,Sacramento,CA,"Beautiful, fully remodeled home boasting 4 bedrooms, 2 bathrooms and 1600 sqft of living space! It's the only 4-bedroom mobile home currently for sale in Sacramento County. Updated from top to bottom including a new island kitchen with grey cabinets, stylish black hardware, butcher block counters with chevron pattern and new stainless-steel appliances. The guest bathroom has been updated with new vanity and quartz shower while the master bath features a double sink vanity with quartz counters and a full-size bathtub. Other updates include fresh paint inside & out, new laminate and carpet flooring, newly resurfaced roof, dual pane windows, new skirting and recessed lighting. Enjoy ample closet space and covered parking for two cars. The covered patio with new carpet overlooks a spacious yard with room for outdoor storage & BBQ. Conveniently located within walking distance to schools, restaurants, shopping and public transportation. Home is in the All-Ages Meadowbrook Mobile Home Park. The park has 2 pools, clubhouse, basketball courts, playground and large grass area. **SPACE RENT is $970/mo** Park approval required for offer acceptance. Cannot be purchased as rental; only owner occupied. Cash or mobile home loan only. Furniture is included!",https://photos.zillowstatic.com/fp/b0281deed0f59e2433afefbab343a200-cc_ft_960.jpg https://photos.zillowstatic.com/fp/90fcbfaf4e53b2af082176405f973b6f-cc_ft_576.jpg https://photos.zillowstatic.com/fp/b82d7190dbc72060bae8781a68810ab3-cc_ft_576.jpg https://photos.zillowstatic.com/fp/aa9d4266154c99d027691114a60a154d-cc_ft_576.jpg https://photos.zillowstatic.com/fp/376ee27ebf094b3ecd64d5036bd64125-cc_ft_576.jpg,0.1899
2059149243,1,1.0,700.0,W 4th St,Long Beach,CA,"Own a property in the heart of downtown Long Beach at a super affordable price! This unit is perfect for an investor or for an owner-user. This one bedroom downstairs unit is in a gated building, known as Victor Court. The unit is very roomy with a spacious living room, kitchen, and full bathroom. The HOA covers all utilities, except for the electric bill. The property taxes for each unit are substantially less than normal property taxes in this price range. Two lenders are currently working to see if financing is possibly an option for owner occupants in the complex, as this property is a stock co-op. This property is located in a prime location within walking distance to the beach, restaurants, shopping, and nightlife in the downtown Long Beach area. Hurry before it is too late!",https://photos.zillowstatic.com/fp/501416303cc892d2136ba053a488ea53-cc_ft_960.jpg https://photos.zillowstatic.com/fp/99ec89bfb4ab731967e1b77e226b68b9-cc_ft_576.jpg https://photos.zillowstatic.com/fp/9263f770eef08205efe59d1c2ee0a419-cc_ft_576.jpg https://photos.zillowstatic.com/fp/25137ac7b91e9999c68dede25d479577-cc_ft_576.jpg https://photos.zillowstatic.com/fp/aee1e59570f67dab4bd2ae8a06ed4c1d-cc_ft_576.jpg,0.223999
2059262741,3,3.0,1345.0,E Sunset St,Long Beach,CA,"Edgewood Point, City Ventures' newest solar included townhome community in Long Beach, is now selling! Lot 27 is a plan 1 home and features 3 bedrooms and 3 baths, stainless kitchen appliances, and white cabinets. Buyer will be able to customize the finishes from countertops to flooring, and personalize your new home your way.    Photos are of the model home for refernce only and not the actual available home.",https://photos.zillowstatic.com/fp/d52e8fc7fdeb003080bfa146c66eaa7a-cc_ft_960.jpg https://photos.zillowstatic.com/fp/e75dfdb398277aa73e14aedf1a282b60-cc_ft_576.jpg https://photos.zillowstatic.com/fp/ac6e41280c9a2017518e3b382bde73fe-cc_ft_576.jpg https://photos.zillowstatic.com/fp/b020d7521c8788129c5c125a8eb39971-cc_ft_576.jpg https://photos.zillowstatic.com/fp/9d9b3ea5a2d083d92802e3983d0bdab7-cc_ft_576.jpg,0.69999
