zpid,bed,bath,sqft,street,city,state,overview,image,price
2059149243,1,1.0,700.0,W 4th St,Long Beach,CA,"Own a property in the heart of downtown Long Beach at a super affordable price! This unit is perfect for an investor or for an owner-user. This one bedroom downstairs unit is in a gated building, known as Victor Court. The unit is very roomy with a spacious living room, kitchen, and full bathroom. The HOA covers all utilities, except for the electric bill. The property taxes for each unit are substantially less than normal property taxes in this price range. Two lenders are currently working to see if financing is possibly an option for owner occupants in the complex, as this property is a stock co-op. This property is located in a prime location within walking distance to the beach, restaurants, shopping, and nightlife in the downtown Long Beach area. Hurry before it is too late!",https://photos.zillowstatic.com/fp/501416303cc892d2136ba053a488ea53-cc_ft_960.jpg,0.223999
21161549,5,5.0,4241.0,Pacific Ave,Long Beach,CA,"This spectacular ONE LEVEL Estate is situated in the prestigious neighborhood of Virginia Country Club in Los Cerritos, Long Beach. This magnificent and fully remodeled home sits on just under a half-acre, and features 4 bedrooms, 4 bathrooms, and a separate 1 bed, 1 bath fully appointed guest home located above the 3-car garage. Boasting a beautiful water fountain centered in a half-circle driveway, plus an extensive gated remote entry RV & toy hauler parking that extends the length of the property. Sun-filled open living with new floor-to-ceiling windows and glass sliding doors throughout that showcase the backyard’s immaculate grounds, built-in barbecue, and a vast heated pool and spa. The gorgeous sparkling pool with waterfalls and Baja shelf was completely renovated & upgraded including new pool equipment. The formal living is impressive and oversized with plenty of natural light and a grand fireplace. The kitchen is absolutely amazing, modern, and elegant. New stainless-steel appliances and a sizable kitchen island. Two separate owner's suites, full bathrooms with double rainfall shower heads and double sink vanity. One of the owner’s suites has a fireplace and the other a patio deck. Large galley laundry room. New HVAC system, new electrical panel, and plumbing.Finished 2-car and 1-car garages with modern glass doors. This home is built for entertainment and gatherings yet is peaceful and serene. Come view all this stunning home has to offer.",https://photos.zillowstatic.com/fp/9c83d1d433ae6d0e094956b2d7388aa7-cc_ft_960.jpg,3.75
72507532,5,3.0,3034.0,Locust Ave,Long Beach,CA,"Perfect for an investor or first-time home buyer.  There is a lot of redevelopment in the neighborhood.  Close to good restaurants, shopping, schools, museums and only a 12-minute drive to Alamitos Beach, the Aquarium of the Pacific and the Queen Mary.  Situated 14 minutes away from Cal State Long Beach and only 8 minutes away from In-N-Out Burger.  The main home has 2 bedrooms, 1 bath and is approximately 1,291 sqft.  The second unit has 2 bedrooms, 1 bath and is approximately 969 sqft.  The third unit is a 1 bedroom, 1bath and is approximately 774 sqft.  Includes new plumbing, new windows and new garage doors.  The entire lot is approximately 5,819 sqft and has a courtyard with mature fruit trees, guavas, oranges and pomegranates. The property also comes with 4 individual 1 car garages, plus tandem driveway parking.  The two larger units are expected to be delivered vacant at closing.",https://photos.zillowstatic.com/fp/b73c3d2e53ce7528d9023e06628880ae-cc_ft_960.jpg,1.049
21185268,4,2.0,2268.0,E Greenmeadow Rd,Long Beach,CA,"Welcome to Lakewood Village.  As you approach the property, you'll be captivated by its attractive carport, meticulously designed brick hardscaping, and inviting entryway that sets the stage for what lies beyond. Upon entering the home, you'll step into a spacious living room adorned with elegant coved ceilings, bathing the room in a sense of sophistication. The living room boasts a bright bay window that fills the space with natural light, creating a warm and inviting ambiance. Additionally, a cozy family fireplace adds comfort and is a focal point for relaxation and gatherings. Walk thru the formal dining room to a cute breakfast nook that connects to the kitchen.  The kitchen features warm wood cabinets, sleek Corian countertops, and recessed lighting. This home is designed with entertainment in mind, offering a living room and a family room. French doors gracefully merge the indoor and outdoor spaces, allowing for a seamless flow of natural light and outdoor access. Step onto the wooden deck, sheltered by a covered patio adorned with skylights, creating a serene, relaxing setting. The deck leads to a spacious wraparound yard, providing ample space for hosting gatherings and enjoying outdoor activities. There are four well-appointed bedrooms, with one that is located in the rear of the home that stands out for its generous size, easily accommodating king-size furniture. On the opposite side of the home, three additional bedrooms and two bathrooms await. The primary bedroom offers the same versatility, accommodating king-size furniture. It boasts a cozy fireplace, a comfortable sitting area, a convenient dressing area, a walk-in closet, and a private en-suite bathroom. French doors in the primary bedroom lead to the deck and patio area, enhancing the seamless indoor-outdoor connection. There is ample space for an RV, complete with cleanouts, ensuring hassle-free storage and maintenance. The oversized two-car garage includes a workshop area and convenient drive-through double doors, providing versatility and convenience. Surrounding the property, you'll find an array of amenities to enjoy. Heartwell Park and Golf offer opportunities for outdoor recreation and strolls, while the LB Exchange provides convenient shopping and dining options.",https://photos.zillowstatic.com/fp/5d098e3595498ee857c54c4090fdcc9a-cc_ft_960.jpg,1.15
21152350,3,2.0,1282.0,E 57th St,Long Beach,CA,"Great investment property with endless opportunities! One unit has 2 bedrooms and one updated bathroom. There is an additional bedroom where the garage has been converted and includes a closet and indoor laundry room. The vacant unit has fresh paint, new carpet, new flooring, updated bathroom including a re glazed shower/tub, some double pane windows, new window coverings and a spacious living space with a backyard to host family and friends. There is an attached 1 bedroom, 1 bath unit and currently has a long term tenant in place. The exterior has been painted and some updated landscaping. There is vacant space attached to the property that could be utilized for building an ADU if approved, additional parking or just add to the existing unit. Easy access to the 91 and 710 freeways, shopping and schools.",https://photos.zillowstatic.com/fp/1fcf35de0b68f7321e6597c7742db60d-cc_ft_960.jpg,0.665
136698997,3,2.0,1120.0,Long Beach Blvd,Long Beach,CA,"Don't miss this fantastic opportunity at Westland Mobile Home Park! Introducing a 3-bedroom, 2-bathroom double wide manufactured home, renovated in 2015. It boasts an updated open concept kitchen with granite countertops, ample cabinet space, and a dining breakfast bar. Plus, it's freshly painted as of last week! Relax and entertain on the private front porch, with ample space for parking up to 2 cars. Standout features of this home include 2 additional bonus rooms, bringing the bedroom count to an impressive 5! The master suite promises comfort with ample closet space and a private bathroom. Don't wait to seize this amazing opportunity!",https://photos.zillowstatic.com/fp/5bc1f644b766aa5eeb0533daee656605-cc_ft_960.jpg,0.18
21155587,4,2.0,1328.0,Olive Ave,Long Beach,CA,Don't miss out on this opportunity!!! A duplex in the heart of Long Beach. Two buildings on a lot! Long ample driveway for both tenants to have their  own parking space. Located near the 710 fwy & local shops and dining. Check it out today!,https://photos.zillowstatic.com/fp/6319117da4103cf53087d4019d983f7c-cc_ft_960.jpg,0.81
63092961,3,3.0,1897.0,W Neapolitan Ln,Long Beach,CA,"This Beautiful Custom Built Mediterranean Style 3BD / 2.5BA house in the heart of Naples Island featuring 9 foot ceilings and hardwood flooring combines classic Mediterranean architectural elements with modern comforts, providing an inviting and luxurious living space. Grand custom front double doors lead to an open concept design seamlessly connecting the living room, dining area, and kitchen with the granite center island creating an ideal space for entertaining with French doors leading to a front patio. Great kitchen is equipped with cooking island, granite counter tops, custom cabinetry and stainless steel appliances.   Ascending the elegant marble staircase with wrought iron railings, you reach the second floor, where the master suite awaits. Second floor features spacious master bedroom with walk-in closet, hardwood flooring and large private balcony with Naples fountain. Master bedroom suite includes beautiful bathroom with jacuzzi tub, walk-in shower, dual sinks with marble counter tops and flooring. There are two additional bedrooms on the second floor, one featuring a private balcony.   One of the highlights of this house is the rooftop patio, an enchanting space designed for leisure and entertainment. The patio offers ample seating options, perfect for lounging or hosting gatherings under the open sky with build-in BBQ grill and kitchen.  This beautiful house is ideally situated in a desirable neighborhood of Naples Island, with walking distance to Naples canals, beaches, Belmont Shore's 2nd Street shopping, dining and parks. Don't miss the opportunity to make this exceptional property your own. Contact us today to schedule a viewing.",https://photos.zillowstatic.com/fp/f3e49d1062751a778e532fcc0efedfac-cc_ft_960.jpg,1.963
21220349,4,2.0,2208.0,Corona Ave,Long Beach,CA,"Attention all multi-family owners and investors! This remarkable Belmont Shore duplex is an opportunity that you don't want to miss.  This amazing property features 2 well maintained and clean units that both feature 2 spacious bedrooms, and 1 full bathroom, gorgeous hardwood floors throughout, a bright and airy layout with abundant windows, a spacious living room that flows seamlessly into the dining room, an office/flex space area, in-unit laundry, and a beautiful and spacious kitchen complete with a dishwasher, microwave, and oven, a considerable amount of cabinetry and countertops, as well as 2 1-car garages.  In terms of location, it doesn't get any better than this.  This duplex is located in the highly sought after, and world famous, Belmont Shore neighborhood of Long Beach.  The property is just steps away from 2nd Street with endless options for shopping, dining, and entertainment.  The beach and Alamitos Bay are just blocks away, presenting the opportunity to swim, paddle board, walk, ride bikes, and everything else that comes with living in paradise. and the Marina.  This type of location attracts the highest level of rental demand and top dollar rents making it a great investment. Properties like this don't come on the market often, so don't miss out on this amazing opportunity!",https://photos.zillowstatic.com/fp/9132c2a4eeef0b34b698eb7b8e0b0b50-cc_ft_960.jpg,1.585
21221699,3,2.0,1104.0,E Anaheim St,Long Beach,CA,"INVESTOR SPECIAL ON THIS SPACIOUS 3 BEDROOM, 2 BATH CONDO IN THE TRAFFIC CIRCLE AREA OF LONG BEACH. THIS ONE LEVEL CONDO IS RENTED THROUGH 11/30/2025 AT $2900/MTH WITH EXCELLENT TENANTS, AND WOULD LIKE TO ADD ANOTHER YEAR. THE CONDO COMES WITH ALL NEW APPLIANCES, INCLUDING SAMSUNG WASHER/DRYER, GRANITE COUNTERS, HAS CENTRAL AC, TWO SECURE PARKING SPACES, GUEST PARKING, LAMINATE FLOORS THROUGHOUT, GRANITE COUNTERS, FIREPLACE, MASTER SUITE, AND IS LOCATED CLOSE TO SHOPPING, RESTAURANTS, AND CAL STATE LONG BEACH. THE COMPLEX HAS A POOL AND CLUB  HOUSE FOR ALL TO USE.",https://photos.zillowstatic.com/fp/3a92ed43f63ae5643c00be1d7f1bc4d8-cc_ft_960.jpg,0.599
2085813106,2,2.0,1100.0,E Emerald Cove Dr,Long Beach,CA,"Rare opportunity, move in ready with lots of parking plus an enclosed private backyard with large porch, pergola, deck, tiki bar, fountain and lighting. All within the gated, waterfront 55+ community of Belmont Shores Mobile Estates. Freshly painted exterior and interior, new wood fencing, remodeled kitchen with stainless steel appliances, white cabinetry, granite counter tops(kitchen & bathrooms), laminate flooring throughout. Open floor plan, 2BR, 2BA, separate dining room with built in hutch, inside laundry room off kitchen. Enclosed porch off front door entry creating additional living space, great for office, craft room or storage space. Both bedrooms have direct access to backyard and covered rear deck. Covered Carport parking plus additional side by side parking located on opposite side of home. Park amenities include year-round heated pool, spa, fitness center, billiard room, clubhouse and library. Accessed by a 24 hour attendant gate. Park is adjacent to the Cerritos Bahia Marina, across the road from Bixby Village Golf Course, Marina Pacifica Shopping Center and 2nd & PCH Center.  Easy freeway access (405,605,22), minutes from Trader Joe's, Ralph's, Whole Foods, Gelson's, Target, restaurants and movies. Monthly space rent of $1650.00 plus $53.59 gate fee, $29.79 trash service fee and individually metered gas, electric and water. Buyers must obtain park approval to purchase.",https://photos.zillowstatic.com/fp/d31f2107818cbccb20f40b51f1c526cf-cc_ft_960.jpg,0.225
2058170290,4,5.0,3105.0,S Balboa Pl,Long Beach,CA,"A modern farm-house of coastal opulence, this exquisitely crafted, newly built (2023) residence on the covetable Long Beach Peninsula places the pinnacle of luxury at your doorstep and invites you to revel in the sweeping panoramic views of the Pacific Ocean, the bay, Naples Island, downtown Long Beach, and Catalina Island. Curated by renowned Sennikoff Architects and Esoteric Homes with interiors by designer Sherry Alexander, this open floor plan boasts four bedrooms and four-and-one-half-bathrooms, spanning approximately 3,105 square feet over three levels. The finest materials and appliances have been carefully selected to embrace a lifestyle of luxury, comfort, and indulgence, including immaculate hardwood flooring, sumptuous stone countertops and fireplaces, and a commercial-grade elevator serving all floors, including the rooftop deck. Gourmet chefs will delight in the Bertazzoni appliances, which include a 48"" range, 36"" fridge, Zepher Beverage cooler, and Sharp microwave drawer, ideal for creating and serving delectable dishes. Upstairs, the master suite displays lay-down sunset views with the ultimate in opulence with fireplace, soaking tub, dual vanity sinks, walk-in closet, and private balcony accessed by accordion glass sliding doors. Crowning the home is media room and expansive rooftop deck providing the perfect vantage point to marvel at the stunning vistas from every angle. A water sports enthusiast's paradise, this property offers easy access to a wide array of aquatic activities, including boating, yacht club, paddle boarding, gondola rides, surfing, and fishing. Live moments from dozens of shops, restaurants, and the turquoise blue ocean where life is at its most serene.",https://photos.zillowstatic.com/fp/141f3618a2f2b6570d611c174e896197-cc_ft_960.jpg,3.788888
21216961,3,3.0,2192.0,Naples Canal,Long Beach,CA,"Welcome to Prestigious Treasure Island Waterfront and an amazing Opportunity to Own an Original Mid Century Modern Home. This Home was Designed by Famed Long Beach Architect, Mr. Edward Killingsworth. It was built for the Original Owners in 1955 and is being Sold by their Family. This Custom Built Classic Home is one of the last remaining Killingsworth homes in Naples and Treasure Island. Special Features include: Private Boat Dock,  Interior consist of Beautiful Wood Beams, supporting Wood Tongue and Grooved Ceilings, a Dramatic Rock Wood Burning Fireplace in the Formal Living Room, Floor to Ceiling Glass Windows with Panoramic Views of the Private Courtyard, and the Waterways of Naples Canal. The Open Family Room also has a Wood Burning Brick Fireplace and Concrete Flooring and Walls of Floor to Ceiling Glass to View the Spacious Courtyard. The Family Room has Wood Paneling and shelving for displays. The Kitchen is Original Condition, with a Breakfast Nook and Windows overlooking the Courtyard, as well. The Garage is a Oversized Two Car plus a Single Car enclosed Space. There is Also Room for One more Car to park on the Alley apron. Moving Upstairs, The Primary Suite consists of a Cathedral Wood Ceiling and built-in Bookcases along Glass louvered Windows overlooking Naples Canal. It has the original Linoleum Flooring Hallway and down the Hall there are Two More Bedrooms and a rear Guest Bathroom, complete with Dual Sinks and a Tub Shower and Storage. Along the Open Floorplan there is also Bookshelves for displays and there is a bank of Windows overlooking the Courtyard. Enjoy the Indoor/Outdoor Lifestyle of Waterfront Living on the Open Waterway of Treasure Island.",https://photos.zillowstatic.com/fp/185f4a5cd55a7609b9eafb2d0e2e7401-cc_ft_960.jpg,3.25
21247787,2,1.0,730.0,Santa Fe Ave,Long Beach,CA,"Welcome to your starter home in the beautiful city of Long Beach! This top-unit condo offers a perfect blend of comfort, style, and convenience that is located safely behind neighborhood security gates.     As you step inside you are greeted by vinyl flooring that stretches throughout the entire living space. Its durability ensures easy maintenance, making it an ideal choice for any lifestyle. The kitchen boasts a charming tile floor that adds a touch of elegance to the heart of your home.     This thoughtfully laid-out condo boasts two spacious bedrooms and one bathroom. The primary room is complete with a convenient walk-in closet that provides ample storage for all your wardrobe essentials.     In addition to coming with one covered parking space, residents gain access to the community pool, right in time for summer.    Low HOA fees are an added advantage at the Sante Fe Starter. This property is FHA and VA-approved. It is an excellent opportunity for those trying to get into the market.    Don't miss the chance to make this outstanding property your own!",https://photos.zillowstatic.com/fp/ae9b5fb840f2029ddc6b1ea473feb0ba-cc_ft_960.jpg,0.3749
21299183,5,3.0,2218.0,W Summit St,Long Beach,CA,"GREAT LOOKING TRIPLEX. 2- TWO BED UNITS AND 1- ONE BED UNIT.  ONE BED UNIT TO BE DELIVERED VACANT. 3-CAR GARAGE.  1624 W. SUMMIT ST. IS ALSO FOR SALE FOR $875,000. IT IS ALMOST IDENTICAL TRIPLEX.",https://photos.zillowstatic.com/fp/ff0438afa19637b5957a23dae6e1f270-cc_ft_960.jpg,0.875
21215897,3,3.0,1775.0,Rivo Alto Canal,Long Beach,CA,"*** BANKRUPTCY COURT SALE - EQUITY SALE (NOT REO, BANK OWNED OR SHORT SALE) ***THE ISLE OF NAPLES IS ONE OF THE MOST PROMINENT, DISTINCTIVE, AND CULTURAL LOCATIONS IN LONG BEACH.  A SHORT DISTANCE TO 2ND STREET WHERE YOU CAN EXPLORE BEACHES, EVENTS, AND ENTERTAINMENT.  PEACEFUL AND QUIET - THIS COMMUNITY IS TRUELY PICTURESQUE OF ITALY ITSELF IN THE HEART OF SOUTHERN CALIFORNIA.",https://photos.zillowstatic.com/fp/8ba503f4aa77828750a98509244638e3-cc_ft_960.jpg,2.4999
21232440,1,1.0,632.0,E Ocean Blvd,Long Beach,CA,"The Ocean Surf is a highly upgraded ocean view condo located in an ideal location along the Ocean corridor, between downtown Long Beach, Shoreline Village, Bixby Park, and Belmont Shore. This condominium offers a range of desirable features and amenities to enhance the beach lifestyle living experience. The condo boasts stunning ocean views from both indoor and outdoor living spaces, allowing you to enjoy the beauty of the ocean at any time. The open kitchen is equipped with new appliances, quartz countertops, and ample storage, including an eat-in bar for casual dining. The dining and living areas open up to a spacious balcony, where you can soak in the ocean breezes and entertain guests. The bedroom is spacious and offers a serene environment to wake up to, with beautiful sunrise and water views. The refurbished bathroom features quartz counters and conveniently includes laundry facilities in a closet. Residents of Ocean Surf have direct beach access, making it easy to enjoy the sandy shores and explore nearby attractions such as the Queen Mary. The community amenities include a saltwater pool and spa surrounded by an entertaining patio, perfect for relaxation and socializing. There is also a community room overlooking the ocean, complete with a kitchen, pool table, and gym facilities. Parking is secure and conveniently located on the same level as the condo, with additional guest parking available on level 6. The pet policy allows for one pet per unit, with a dog weight limit of 30 lbs or under. Short-term rentals are not permitted. The Homeowners Association (HOA) provides various benefits such as internet, WIFI, water, trash services, and earthquake insurance. The monthly HOA dues are low, considering the range of amenities and services covered. Overall, the Ocean Surf condominium offers a perfect combination of location, upgraded features, and community amenities, making it an excellent choice for either a weekend retreat or a full-time residence.",https://photos.zillowstatic.com/fp/3cb06a55576fc186f671f5a108b44660-cc_ft_960.jpg,0.598
21226254,3,2.0,1361.0,Newport Ave,Long Beach,CA,"This stunning craftsman-style home combines classic charm with modern comfort for an incredible living experience. Every inch of this home has been meticulously designed, starting from the newly paved concrete walkway. With so many upgrades, it's hard to know where to begin. The open-concept interior has been freshly painted and features textured walls, new interior and closet doors, and stylish hardware. You'll love the new front door and double-pane windows throughout (except for the front windows, which maintain the home's classic look). The first bathroom has retained its original floor tile, adding character to this historic home. The second bathroom has been updated with new sink, toilet, and shower tile. The spacious kitchen is perfectly situated to capture natural light, making it the ideal spot to enjoy your morning coffee. Step outside to your own private oasis, complete with a beautifully remodeled zero-scaped yard, pergola, newly added irrigation, artificial turf, and Podocarpus trees lining the property. Oh, and did I mention Level 2 EV charging in the garage! And as a plus, this home has R2 zoning. Close proximity to so many restaurants and the surrounding shopping areas, and when all this wasn't enough, you are moments away from the beach. This home has it all – and it could be yours!",https://photos.zillowstatic.com/fp/271e5e3807821be8ec6ab8c531a50289-cc_ft_960.jpg,1.149
21231635,2,2.0,1264.0,E Ocean Blvd,Long Beach,CA,"OPPORTUNITY KNOCKS !!! UNOBSTRUCTED, PANORAMIC OCEAN VIEWS & THE SOUNDS OF WAVES. ELEGANT 2BD/2BA, END UNIT ON THE SAND W/DIRECT BEACH ACCESS. SPACIOUS LIVING ROOM, HARDWOOD FLOORS, PLANTATION SHUTTERS, FIREPLACE W/CUSTOM MANTLE, FORMAL DINING ROOM &  FUNCTIONAL FLOOR PLAN, WRAP-AROUND TILED DECK/BALCONY. UPDATED CHEF’S KITCHEN W/STAINLESS STEEL APPLIANCES, MAHOGANY CABINETS, GRANITE COUNTERS & BREAKFAST BAR. LARGE MASTER SUITE W/HUGE WALK-IN CLOSET, MASTER BATH W/JACUZZI TUB & ITALIAN MARBLE FLOORS THROUGHOUT THE BATHROOM. LAUNDRY ROOM & LOTS OF STORAGE SPACE.",https://photos.zillowstatic.com/fp/29e9a0d6f12aef0147b9eb64c36b71df-cc_ft_960.jpg,1.15
21207408,2,2.0,1109.0,Monogram Ave,Long Beach,CA,"Charming, light filled, and move-in ready, this open concept 2-bedroom, 1 plus 1/2-bathroom home is ideally located along the bend of a quiet tree-lined street in the desirable Los Altos/El Dorado Park North neighborhood.  Home is conveniently located within walking distance to El Dorado Park and Golf Course, Cal State Long Beach, great schools, freeways, and a bike path to the ocean.  Many brand-new upgraded features:  Garage door with additional garage interior lighting, furnace with central heating throughout, upgraded 220v electrical meter panel and breakers, push button garbage disposal, kitchen faucet with soap dispenser, recessed can lighting throughout entire home with dimmer switches, new bathroom lighting, low- maintenance front and back yards with drip irrigation, – and more!  Recently purchased modernized appliances have been well-maintained and are in near-new condition:  stove, double door refrigerator with freezer and outside door water and ice dispenser, and large capacity washer and dryer in laundry room.  The original features have been beautifully and thoughtfully maintained including hardwood floors throughout, modernized main bathroom including large, tiled shower, wood-burning fireplace in the great room and large dual-paned windows that bring the outside in.  Light and airy home is move in ready!",https://photos.zillowstatic.com/fp/f7e618de76a5b19ebe56fa142ed18ddb-cc_ft_960.jpg,0.795
